source,author,title,description,content,url,image_url,published_at,search_term,matched_keywords,matched_keywords_str,categories,categories_str,clean_text,has_image,title_length,description_length,clean_text_length,category_count,keyword_count,published_date,published_hour_utc,published_dayofweek_utc
Bringatrailer.com,bringatrailer,"2,500-Mile 2019 Chevrolet Corvette ZR1 Convertible 3ZR ZTK","This 2019 Chevrolet Corvette ZR1 convertible was specified from the factory with the 3ZR Premium Equipment Group, the Track Performance Package, and heated and ventilated Competition Sport seats before being delivered new to Buff Whelan Chevrolet of Sterling …","This 2019 Chevrolet Corvette ZR1 convertible was specified from the factory with the 3ZR Premium Equipment Group, the Track Performance Package, and heated and ventilated Competition Sport seats befo… [+3302 chars]",https://bringatrailer.com/listing/2019-chevrolet-corvette-zr1-convertible-46/,https://bringatrailer.com/wp-content/uploads/2026/03/2019_chevrolet_corvette-zr1-convertible_DSC08143-67822-scaled.jpg,2026-04-04 23:50:03+00:00,port OR shipping OR freight OR maritime OR smuggling,['port'],port,['ports'],ports,"2,500-Mile 2019 Chevrolet Corvette ZR1 Convertible 3ZR ZTK This 2019 Chevrolet Corvette ZR1 convertible was specified from the factory with the 3ZR Premium Equipment Group, the Track Performance Package, and heated and ventilated Competition Sport seats before being delivered new to Buff Whelan Chevrolet of Sterling … This 2019 Chevrolet Corvette ZR1 convertible was specified from the factory with the 3ZR Premium Equipment Group, the Track Performance Package, and heated and ventilated Competition Sport seats befo… [+3302 chars]",True,58,260,534,1,1,2026-04-04,23,5
Slickdeals.net,niki4h | Staff,"MiiR/Life Is Good Drinkware: 8-Oz Aero Flask $6.99, 20-Oz Tumbler $9.99, 32-Oz Cup and Straw $9.99 & More + Free Shipping (5 replies)",Life Is Good [lifeisgood.com] has MiiR Drinkware & Accessories from $3.99 listed below. Shipping is free. Note: Try another browser if free shipping doesn't apply. Chrome seems to work. Ava,"This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",https://slickdeals.net/f/19384272-miir-life-is-good-drinkware-8-oz-aero-flask-6-99-20-oz-tumbler-9-99-32-oz-cup-and-straw-9-99-more-free-shipping,https://slickdeals.net/attachment/2/0/3/1/1/5/0/450x450/20022948.thumb,2026-04-04 23:46:40+00:00,port OR shipping OR freight OR maritime OR smuggling,['shipping'],shipping,['ports'],ports,"MiiR/Life Is Good Drinkware: 8-Oz Aero Flask $6.99, 20-Oz Tumbler $9.99, 32-Oz Cup and Straw $9.99 & More + Free Shipping (5 replies) Life Is Good [lifeisgood.com] has MiiR Drinkware & Accessories from $3.99 listed below. Shipping is free. Note: Try another browser if free shipping doesn't apply. Chrome seems to work. Ava This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",True,133,189,536,1,1,2026-04-04,23,5
Pypi.org,,dynamicsyntax added to PyPI,Python port of DyLan Dynamic Syntax + TTR (parser core),Python 3.13 port of the DyLan Dynamic Syntax parser core (Java qmul.ds). PyPI distribution name: dynamicsyntax. Install (from PyPI) pipinstalldynamicsyntax Quick API (bundled 2015-english-ttr gram… [+997 chars],https://pypi.org/project/dynamicsyntax/,https://pypi.org/static/images/twitter.abaf4b19.webp,2026-04-04 23:43:09+00:00,port OR shipping OR freight OR maritime OR smuggling,['port'],port,['ports'],ports,dynamicsyntax added to PyPI Python port of DyLan Dynamic Syntax + TTR (parser core) Python 3.13 port of the DyLan Dynamic Syntax parser core (Java qmul.ds). PyPI distribution name: dynamicsyntax. Install (from PyPI) pipinstalldynamicsyntax Quick API (bundled 2015-english-ttr gram… [+997 chars],True,27,55,294,1,1,2026-04-04,23,5
Slickdeals.net,pennysave,42pc Rubbermaid Food Storage Containers w/ Lids $15,"Amazon [amazon.com] has 42-Piece Rubbermaid Food Storage Containers with Lids for $14.98. Shipping is free with Prime or on $35+ orders. https://www.amazon.com/gp/product/B07PSKSG1M *- OOS, see...","Per Google Based on Slickdeals community guidelines and forum best practices, asterisks (*) and other special characters are generally not used in thread titles to maintain readability, ensure search… [+46 chars]",https://slickdeals.net/f/19381983-42pc-rubbermaid-food-storage-containers-w-lids-15,https://slickdeals.net/attachment/2/9/8/1/5/7/1/1/450x450/20017773.thumb,2026-04-04 23:40:43+00:00,port OR shipping OR freight OR maritime OR smuggling,"['container', 'shipping']","container, shipping",['ports'],ports,"42pc Rubbermaid Food Storage Containers w/ Lids $15 Amazon [amazon.com] has 42-Piece Rubbermaid Food Storage Containers with Lids for $14.98. Shipping is free with Prime or on $35+ orders. https://www.amazon.com/gp/product/B07PSKSG1M *- OOS, see... Per Google Based on Slickdeals community guidelines and forum best practices, asterisks (*) and other special characters are generally not used in thread titles to maintain readability, ensure search… [+46 chars]",True,51,196,461,1,2,2026-04-04,23,5
Slickdeals.net,niki4h,"Life Is Good Men's, Women's, & Kids' Hats (Various Styles) $4.99 + Free Shipping","Life Is Good [lifeisgood.com] has *Life Is Good Men's, Women's, & Kids' Hats *on sale from *$4.99 *listed below. *Shipping is free.* Note: Try another browser if free shipping doesn't apply....","This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",https://slickdeals.net/f/19384227-life-is-good-men-s-women-s-kids-hats-various-styles-4-99-free-shipping,https://slickdeals.net/attachment/2/0/3/1/1/5/0/450x450/20022861.thumb,2026-04-04 23:16:16+00:00,port OR shipping OR freight OR maritime OR smuggling,['shipping'],shipping,['ports'],ports,"Life Is Good Men's, Women's, & Kids' Hats (Various Styles) $4.99 + Free Shipping Life Is Good [lifeisgood.com] has *Life Is Good Men's, Women's, & Kids' Hats *on sale from *$4.99 *listed below. *Shipping is free.* Note: Try another browser if free shipping doesn't apply.... This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",True,80,193,487,1,1,2026-04-04,23,5
Slickdeals.net,Bojjihuntindeals,15-Watt Satco S3845 120V Candelabra Base G12.5 Light Bulb (Clear) $0.79 + Free Shipping w/ Prime or on $35+,Amazon [amazon.com] has 15-Watt Satco S3845 120V Candelabra Base G12.5 Light Bulb (Clear) for $0.79. Shipping is free w/ Prime or on $35+. Product Description from Amazon:Light Bulb from the Item Si,"This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",https://slickdeals.net/f/19384191-15-watt-satco-s3845-120v-candelabra-base-g12-5-light-bulb-clear-0-79-free-shipping-w-prime-or-on-35,https://slickdeals.net/attachment/2/7/3/8/6/3/8/7/450x450/20022852.thumb,2026-04-04 22:39:18+00:00,port OR shipping OR freight OR maritime OR smuggling,['shipping'],shipping,['ports'],ports,"15-Watt Satco S3845 120V Candelabra Base G12.5 Light Bulb (Clear) $0.79 + Free Shipping w/ Prime or on $35+ Amazon [amazon.com] has 15-Watt Satco S3845 120V Candelabra Base G12.5 Light Bulb (Clear) for $0.79. Shipping is free w/ Prime or on $35+. Product Description from Amazon:Light Bulb from the Item Si This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",True,107,198,519,1,1,2026-04-04,22,5
Pypi.org,alex@alexlaguardia.dev,mcp-woocommerce 0.2.0,"Production-grade MCP server for the WooCommerce REST API — 73 tools for products, variations, attributes, orders, customers, coupons, reviews, reports, shipping, webhooks, batch operations, inventory, and system management","A required part of this site couldnt load. This may be due to a browser extension, network issues, or browser settings. Please check your connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/mcp-woocommerce/0.2.0/,,2026-04-04 22:37:34+00:00,port OR shipping OR freight OR maritime OR smuggling,"['port', 'ports', 'shipping']","port, ports, shipping",['ports'],ports,"mcp-woocommerce 0.2.0 Production-grade MCP server for the WooCommerce REST API — 73 tools for products, variations, attributes, orders, customers, coupons, reviews, reports, shipping, webhooks, batch operations, inventory, and system management A required part of this site couldnt load. This may be due to a browser extension, network issues, or browser settings. Please check your connection, disable any ad blockers, or try using a diffe… [+12 chars]",False,21,222,453,1,3,2026-04-04,22,5
Slickdeals.net,tunabreath,"YMMV, 11.2lbs, Everbilt #9 x 3 in. Tan Star Torx Drive Flat Head Wood Deck Screw (900-Pack), $24.88, Home Depot (5 replies)",YMMV Select Home Depot stores have #9 x 3 in. Tan Star Torx Drive Flat Head Wood Deck Screw (900-Pack) for $24.88. Store pick up his free where stock permits or shipping may be free depending on lo,"Lowe's has GRK branded similar packs at $80 for a 700 pack or $128 for a 1750 pack. Edit: I am tempted because it is a good deal, but I don't need them, and 3"" isn't a size you would need too often. … [+109 chars]",https://slickdeals.net/f/19384173-ymmv-11-2lbs-everbilt-9-x-3-in-tan-star-torx-drive-flat-head-wood-deck-screw-900-pack-24-88-home-depot,https://slickdeals.net/attachment/1/3/8/5/0/5/5/450x450/20022837.thumb,2026-04-04 22:25:02+00:00,port OR shipping OR freight OR maritime OR smuggling,['shipping'],shipping,['ports'],ports,"YMMV, 11.2lbs, Everbilt #9 x 3 in. Tan Star Torx Drive Flat Head Wood Deck Screw (900-Pack), $24.88, Home Depot (5 replies) YMMV Select Home Depot stores have #9 x 3 in. Tan Star Torx Drive Flat Head Wood Deck Screw (900-Pack) for $24.88. Store pick up his free where stock permits or shipping may be free depending on lo Lowe's has GRK branded similar packs at $80 for a 700 pack or $128 for a 1750 pack. Edit: I am tempted because it is a good deal, but I don't need them, and 3"" isn't a size you would need too often. … [+109 chars]",True,123,197,535,1,1,2026-04-04,22,5
Slickdeals.net,hocuspocusblade,Liquid Lunch Lucky 13-Cigar Infused Flight Sampler~$39.89 @ Cigar Page~Free Shipping! (1 replies),"https://www.cigarpage.com/liquid-...light.html Each 13 cigar sampler includes: 5 x ACID Liquid (5""x50) 1 x ACID Kuba Kuba (5""x54) 1 x ACID Kuba Maduro (5""x54) 1 x ACID 20 Connecticut","This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",https://slickdeals.net/f/19384167-liquid-lunch-lucky-13-cigar-infused-flight-sampler-39-89-cigar-page-free-shipping,https://slickdeals.net/attachment/1/7/2/9/6/9/0/450x450/20022840.thumb,2026-04-04 22:23:37+00:00,port OR shipping OR freight OR maritime OR smuggling,['shipping'],shipping,['ports'],ports,"Liquid Lunch Lucky 13-Cigar Infused Flight Sampler~$39.89 @ Cigar Page~Free Shipping! (1 replies) https://www.cigarpage.com/liquid-...light.html Each 13 cigar sampler includes: 5 x ACID Liquid (5""x50) 1 x ACID Kuba Kuba (5""x54) 1 x ACID Kuba Maduro (5""x54) 1 x ACID 20 Connecticut This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",True,97,182,493,1,1,2026-04-04,22,5
Slickdeals.net,LovelyCheetah | Staff,TMY 4K Projector (1080P Native) (w/ WiFi Netflix/Prime Video/YouTube) $79.99 + Free Shipping (3 replies),Official Authorized Retailer via Amazon [amazon.com] has the TMY 4K Projector (1080P Native) (w/ WiFi Netflix/Prime Video/YouTube) for $159.99 - $80 w/ code DIAUTZBK at checkout = $79.99. Shipping is,"This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",https://slickdeals.net/f/19384140-tmy-4k-projector-1080p-native-w-wifi-netflix-prime-video-youtube-79-99-free-shipping,https://slickdeals.net/attachment/2/8/5/9/6/8/4/7/450x450/20022813.thumb,2026-04-04 22:00:07+00:00,port OR shipping OR freight OR maritime OR smuggling,['shipping'],shipping,['ports'],ports,"TMY 4K Projector (1080P Native) (w/ WiFi Netflix/Prime Video/YouTube) $79.99 + Free Shipping (3 replies) Official Authorized Retailer via Amazon [amazon.com] has the TMY 4K Projector (1080P Native) (w/ WiFi Netflix/Prime Video/YouTube) for $159.99 - $80 w/ code DIAUTZBK at checkout = $79.99. Shipping is This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",True,104,199,517,1,1,2026-04-04,22,5
Slickdeals.net,Dmytro_B,Apple Lightning to Digital AV Adapter $15 + Free S&H w/ Amazon Prime,Woot! has Apple Lightning to Digital AV Adapter (MD826AM/A) for $14.99. Shipping is free for Amazon Prime Members (must login with your Amazon account and select a shipping address in order for Woot t,<table><tr><td> My wife has used one of these for years for connecting her ipads to large screen tvs. There's no confirmation required on the ipad screen to complete the connection. However the con… [+907 chars],https://slickdeals.net/f/19384062-apple-lightning-to-hdmi-adaptor-14-99-fs-w-prime-woot,https://slickdeals.net/attachment/4/8/2/3/7/7/450x450/20022807.thumb,2026-04-04 21:58:01+00:00,port OR shipping OR freight OR maritime OR smuggling,['shipping'],shipping,['ports'],ports,Apple Lightning to Digital AV Adapter $15 + Free S&H w/ Amazon Prime Woot! has Apple Lightning to Digital AV Adapter (MD826AM/A) for $14.99. Shipping is free for Amazon Prime Members (must login with your Amazon account and select a shipping address in order for Woot t <table><tr><td> My wife has used one of these for years for connecting her ipads to large screen tvs. There's no confirmation required on the ipad screen to complete the connection. However the con… [+907 chars],True,68,200,481,1,1,2026-04-04,21,5
The Football Faithful,The Football Faithful,Chelsea starlet dealt injury setback as absence explained,Chelsea boss Liam Rosenior revealed that Jamie Gittens has suffered another injury after the youngster missed Saturday’s win over Port Vale.The Blues eased past the League One outfit at Stamford Bri...,Chelsea boss Liam Rosenior revealed that Jamie Gittens has suffered another injury after the youngster missed Saturdays win over Port Vale. The Blues eased past the League One outfit at Stamford Bri… [+1643 chars],https://thefootballfaithful.com/chelsea-jamie-gittens-injury-setback/,https://s.yimg.com/ny/api/res/1.2/zx.qrpmcl_8Qw3.EwQjZiw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03Mzg7Y2Y9d2VicA--/https://media.zenfs.com/en/the_football_faithful_articles_458/ec02771ba355459775809fa5af9dfe9f,2026-04-04 21:45:00+00:00,port OR shipping OR freight OR maritime OR smuggling,['port'],port,['ports'],ports,Chelsea starlet dealt injury setback as absence explained Chelsea boss Liam Rosenior revealed that Jamie Gittens has suffered another injury after the youngster missed Saturday’s win over Port Vale.The Blues eased past the League One outfit at Stamford Bri... Chelsea boss Liam Rosenior revealed that Jamie Gittens has suffered another injury after the youngster missed Saturdays win over Port Vale. The Blues eased past the League One outfit at Stamford Bri… [+1643 chars],True,57,201,473,1,1,2026-04-04,21,5
Pypi.org,,llmport-agent 0.1.6,Node execution agent for llm-port cluster-managed runtimes.,"A required part of this site couldnt load. This may be due to a browser extension, network issues, or browser settings. Please check your connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/llmport-agent/0.1.6/,,2026-04-04 21:38:23+00:00,port OR shipping OR freight OR maritime OR smuggling,['port'],port,['ports'],ports,"llmport-agent 0.1.6 Node execution agent for llm-port cluster-managed runtimes. A required part of this site couldnt load. This may be due to a browser extension, network issues, or browser settings. Please check your connection, disable any ad blockers, or try using a diffe… [+12 chars]",False,19,59,288,1,1,2026-04-04,21,5
